origin,sector,destination,value
KOR,WDP,EU27,1.0
KOR,WDP,VNM,460.75845007039396
KOR,WDP,THA,133.6638295053285
KOR,WDP,MYS,149.81139993082465
KOR,WDP,IDN,226.22102692497631
KOR,WDP,SGP,29.436051132276525
KOR,WDP,PHL,118.54522778598223
KOR,WDP,IND,248.2099325927079
KOR,WDP,MEX,100.93397322533542
KOR,WDP,ROW,1244.5378776976952
KOR,NMM,CHN,12579.541362517602
KOR,NMM,USA,9750.494562079513
KOR,NMM,JPN,6219.121894819978
KOR,NMM,KOR,237916.97500000003
KOR,NMM,EU27,1.0
KOR,NMM,VNM,3849.6131218334726
KOR,NMM,THA,2452.71821761744
KOR,NMM,MYS,1373.9491196729675
KOR,NMM,IDN,1658.5776422448223
KOR,NMM,SGP,519.1373723099663
KOR,NMM,PHL,676.9459327206515
KOR,NMM,IND,3963.360584578451
KOR,NMM,MEX,3346.046892847487
KOR,NMM,ROW,18973.548296757646
KOR,MAC,CHN,8700.63193500097
KOR,MAC,USA,10088.465129159236
KOR,MAC,JPN,2360.48517551983
KOR,MAC,KOR,104823.722
KOR,MAC,EU27,1.0
KOR,MAC,VNM,2421.86838719449
KOR,MAC,THA,566.7365605628673
KOR,MAC,MYS,750.1416032029238
KOR,MAC,IDN,833.513383527267
KOR,MAC,SGP,1362.472134790302
KOR,MAC,PHL,336.1789184297309
KOR,MAC,IND,1514.6799264889999
KOR,MAC,MEX,1834.709341775557
KOR,MAC,ROW,14395.001504347832
KOR,ELE,CHN,74154.95974426183
KOR,ELE,USA,23447.003263277693
KOR,ELE,JPN,4007.5267393342724
KOR,ELE,KOR,246472.865
KOR,ELE,EU27,1.0
KOR,ELE,VNM,35072.40412993306
KOR,ELE,THA,1553.2375957884228
KOR,ELE,MYS,2731.671185116678
KOR,ELE,IDN,1226.6860333305115
KOR,ELE,SGP,6244.194513529338
KOR,ELE,PHL,4343.308111899278
KOR,ELE,IND,4478.57329646107
KOR,ELE,MEX,2409.0795749795234
KOR,ELE,ROW,54376.01181208838
KOR,VEH,CHN,1504.6804543276892
KOR,VEH,USA,30644.849195721552
KOR,VEH,JPN,535.8206422114688
KOR,VEH,KOR,166952.291
KOR,VEH,EU27,1.0
KOR,VEH,VNM,1774.147084162723
KOR,VEH,THA,264.34259809786965
KOR,VEH,MYS,295.3316894480668
KOR,VEH,IDN,417.8916157642425
KOR,VEH,SGP,1379.161019230225
KOR,VEH,PHL,195.76278998089614
KOR,VEH,IND,1990.7736847848903
KOR,VEH,MEX,1557.1528018467495
KOR,VEH,ROW,53538.26342442364
KOR,OTM,CHN,803.2727112957635
KOR,OTM,USA,1587.984586156758
KOR,OTM,JPN,257.03288475655245
KOR,OTM,KOR,24218.127
KOR,OTM,EU27,1.0
KOR,OTM,VNM,120.62220270084849
KOR,OTM,THA,24.607768250458776
KOR,OTM,MYS,36.5359911786534
KOR,OTM,IDN,31.918144638008936
KOR,OTM,SGP,79.42015052691498
KOR,OTM,PHL,32.15155469990904
KOR,OTM,IND,47.96127111321316
KOR,OTM,MEX,108.44512767597924
KOR,OTM,ROW,1383.6566070069407
KOR,SRV,CHN,28769.13340132662
KOR,SRV,USA,34740.46308728932
KOR,SRV,JPN,10899.667503326118
KOR,SRV,KOR,2131876.481
KOR,SRV,EU27,24743.537691966892
KOR,SRV,VNM,2453.754654698957
KOR,SRV,THA,2024.678223919044
KOR,SRV,MYS,2014.260046382644
KOR,SRV,IDN,1608.99677718612
KOR,SRV,SGP,9590.3014337568
KOR,SRV,PHL,1546.4355218469311
KOR,SRV,IND,6558.802999497077
KOR,SRV,MEX,913.5595065036435
KOR,SRV,ROW,49218.26115229989
EU27,AGF,CHN,16774.86913425
EU27,AGF,USA,30395.243360475004
EU27,AGF,JPN,8795.092939423
EU27,AGF,KOR,4782.580473401
EU27,AGF,EU27,1771399.3016461544
EU27,AGF,VNM,1395.4337687539999
EU27,AGF,THA,1294.498780618
EU27,AGF,MYS,1246.7203646920002
EU27,AGF,IDN,1163.091984376
EU27,AGF,SGP,2273.572630368
EU27,AGF,PHL,2253.982439207
EU27,AGF,IND,1381.261433817
EU27,AGF,MEX,2099.113053964
EU27,AGF,ROW,169617.48399049998
EU27,MIN,CHN,474.918331621
EU27,MIN,USA,242.52968763199996
EU27,MIN,JPN,40.484599901
EU27,MIN,KOR,35.580191235
EU27,MIN,EU27,82690.57419966401
EU27,MIN,VNM,41.446852572
EU27,MIN,THA,21.394488897
EU27,MIN,MYS,30.552789649000005
EU27,MIN,IDN,23.753710615
EU27,MIN,SGP,27.661689916
EU27,MIN,PHL,5.935354858
EU27,MIN,IND,193.88567626499997
EU27,MIN,MEX,56.802654108000006
EU27,MIN,ROW,2489.7927730670003
EU27,ENR,CHN,981.006312983
EU27,ENR,USA,19643.764983685
EU27,ENR,JPN,420.956508917
EU27,ENR,KOR,871.9949083540001
EU27,ENR,EU27,452370.38922675396
EU27,ENR,VNM,24.110948939000004
EU27,ENR,THA,49.013402924999994
EU27,ENR,MYS,93.22619618799999
EU27,ENR,IDN,18.501258847
EU27,ENR,SGP,1673.4158801790002
EU27,ENR,PHL,8.801695312000001
EU27,ENR,IND,967.324394374
EU27,ENR,MEX,2072.480600089
EU27,ENR,ROW,150463.313682454
EU27,CHM,CHN,41325.006708687
EU27,CHM,USA,158345.27326625306
EU27,CHM,JPN,24158.094984008
EU27,CHM,KOR,12190.248429568
EU27,CHM,EU27,990380.4099421201
EU27,CHM,VNM,4758.76935268
EU27,CHM,THA,3919.387674206
EU27,CHM,MYS,2593.2821602179993
