input,region,output,value
MAC,USA,ENR,0.0073787759082692425
ELE,USA,ENR,0.0016513208337145808
VEH,USA,ENR,0.0006666474136050229
OTM,USA,ENR,0.0034197166704277833
SRV,USA,ENR,0.22270784316434758
AGF,USA,CHM,0.004463418710715666
MIN,USA,CHM,0.0030808160549062676
ENR,USA,CHM,0.042888106046910145
CHM,USA,CHM,0.19315974442679407
TXL,USA,CHM,0.0020946907272417986
WDP,USA,CHM,0.005991456247305786
NMM,USA,CHM,0.013275908065767741
MAC,USA,CHM,0.002295357471802819
ELE,USA,CHM,0.0025541875880479834
VEH,USA,CHM,0.0004938259136426929
OTM,USA,CHM,0.002528666905957349
SRV,USA,CHM,0.2280535768840298
AGF,USA,TXL,0.020171932254843226
MIN,USA,TXL,0.0008567959034395859
ENR,USA,TXL,0.012820642553228515
CHM,USA,TXL,0.10931909145229882
TXL,USA,TXL,0.12389526678867557
WDP,USA,TXL,0.010028357420657247
NMM,USA,TXL,0.008069851827937492
MAC,USA,TXL,0.002806054779714386
ELE,USA,TXL,0.0020803832168163096
VEH,USA,TXL,0.00043294454617927715
OTM,USA,TXL,0.005004077993779128
SRV,USA,TXL,0.3086683690826521
AGF,USA,WDP,0.019945481422610326
MIN,USA,WDP,0.0009777704833615086
ENR,USA,WDP,0.01693901533391332
CHM,USA,WDP,0.059350311448212845
TXL,USA,WDP,0.0022890006712767493
WDP,USA,WDP,0.19876927051885532
NMM,USA,WDP,0.012553793240185112
MAC,USA,WDP,0.00360622678877948
ELE,USA,WDP,0.0044470125336913266
VEH,USA,WDP,0.00046568194237901593
OTM,USA,WDP,0.0038115201350494873
SRV,USA,WDP,0.2906767686728857
AGF,USA,NMM,0.0003328300141361469
MIN,USA,NMM,0.0371516718271879
ENR,USA,NMM,0.024772545836319677
CHM,USA,NMM,0.02355303530120109
TXL,USA,NMM,0.000564894984569846
WDP,USA,NMM,0.00544409470100054
NMM,USA,NMM,0.26668290137110684
MAC,USA,NMM,0.006933490585479483
ELE,USA,NMM,0.005170068679745058
VEH,USA,NMM,0.0014117192558604473
OTM,USA,NMM,0.004194202024230041
SRV,USA,NMM,0.24933205926059263
AGF,USA,MAC,0.00037986266724142066
MIN,USA,MAC,0.0007111953514706328
ENR,USA,MAC,0.005242256008758991
CHM,USA,MAC,0.026656048004675165
TXL,USA,MAC,0.0005458692632337308
WDP,USA,MAC,0.004089127736122539
NMM,USA,MAC,0.16456375887136435
MAC,USA,MAC,0.08573218442788902
ELE,USA,MAC,0.034476507841644057
VEH,USA,MAC,0.005548969632145765
OTM,USA,MAC,0.0042759898309783426
SRV,USA,MAC,0.25664387763774027
AGF,USA,ELE,0.00018892864129928998
MIN,USA,ELE,0.0003351213863396322
ENR,USA,ELE,0.002832894934666421
CHM,USA,ELE,0.019796073817501935
TXL,USA,ELE,0.000266616101692204
WDP,USA,ELE,0.002315079323438548
NMM,USA,ELE,0.04327179480667999
MAC,USA,ELE,0.005477118497274988
ELE,USA,ELE,0.1068065766895651
VEH,USA,ELE,0.0017503983250486764
OTM,USA,ELE,0.002432270850077433
SRV,USA,ELE,0.15693648033620616
AGF,USA,VEH,0.0002844134629595878
MIN,USA,VEH,0.00045863408257654925
ENR,USA,VEH,0.0073204048444805775
CHM,USA,VEH,0.04887319872453946
TXL,USA,VEH,0.0020567044571260947
WDP,USA,VEH,0.0050756464308985404
NMM,USA,VEH,0.11156819544583188
MAC,USA,VEH,0.01940636947587132
ELE,USA,VEH,0.02787496314580412
VEH,USA,VEH,0.2003163667238581
OTM,USA,VEH,0.003941125843718279
SRV,USA,VEH,0.29137494096874506
AGF,USA,OTM,0.0021163443251075074
MIN,USA,OTM,0.0008897266278869975
ENR,USA,OTM,0.009021017489897776
CHM,USA,OTM,0.045444300105062424
TXL,USA,OTM,0.006529310234298833
WDP,USA,OTM,0.05896392862540864
NMM,USA,OTM,0.05582885879505347
MAC,USA,OTM,0.009813436662940375
ELE,USA,OTM,0.01300623975130742
VEH,USA,OTM,0.004221132111868592
OTM,USA,OTM,0.02119416951724099
SRV,USA,OTM,0.2152755862187019
AGF,USA,SRV,0.0058275150298323555
MIN,USA,SRV,0.0013351645865034636
ENR,USA,SRV,0.016020717580739738
CHM,USA,SRV,0.009719875820352207
TXL,USA,SRV,0.0005106779276176274
WDP,USA,SRV,0.006577079174340212
